Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,Duration,CallStartHour,CallStartMinute,CallStartSecond
CI43,27,management,divorced,tertiary,no,294,yes,yes,NA,28,may,2,-1,0,NA,13:53:29,14:05:03,yes,694.0,13,53,29
CI44,59,retired,married,secondary,no,59,yes,no,NA,5,may,1,-1,0,NA,14:21:52,14:26:25,no,273.0,14,21,52
CI45,47,technician,single,tertiary,no,292,yes,no,NA,19,may,3,-1,0,NA,13:06:57,13:08:19,no,82.0,13,6,57
CI46,56,management,divorced,tertiary,no,663,no,yes,cellular,8,jul,3,-1,0,NA,09:17:08,09:30:47,yes,819.0,9,17,8
CI47,32,retired,divorced,tertiary,no,1218,yes,no,telephone,28,jan,2,-1,0,NA,13:45:20,13:46:30,no,70.0,13,45,20
CI48,31,retired,divorced,tertiary,no,98,no,no,cellular,11,aug,2,-1,0,NA,12:04:33,12:05:42,no,69.0,12,4,33
CI49,31,management,single,tertiary,no,625,yes,no,cellular,2,jul,2,49,3,failure,10:50:34,10:52:49,yes,135.0,10,50,34
CI50,45,retired,single,primary,no,114,yes,no,cellular,20,apr,1,-1,0,NA,11:00:19,11:04:36,no,257.0,11,0,19
CI51,47,retired,single,tertiary,no,458,no,no,cellular,18,nov,1,-1,0,NA,17:11:04,17:12:10,no,66.0,17,11,4
CI52,38,retired,single,tertiary,no,0,yes,no,NA,27,may,2,-1,0,NA,15:05:56,15:09:49,no,233.0,15,5,56
CI53,59,retired,single,primary,no,2319,yes,no,NA,15,may,32,-1,0,NA,10:36:51,10:39:03,no,132.0,10,36,51
CI54,48,retired,married,secondary,no,547,no,no,cellular,21,nov,2,-1,0,NA,11:33:59,11:38:34,no,275.0,11,33,59
CI55,19,unemployed,divorced,primary,no,245,no,no,telephone,10,nov,2,110,2,other,14:43:29,14:45:07,no,98.0,14,43,29
CI56,24,unemployed,divorced,tertiary,no,382,no,no,cellular,13,nov,2,92,3,failure,11:10:12,11:14:28,yes,256.0,11,10,12
CI57,32,management,single,primary,no,1261,yes,no,NA,23,may,1,-1,0,NA,10:18:27,10:20:39,no,132.0,10,18,27
CI58,45,management,single,tertiary,no,154,yes,no,NA,7,may,1,-1,0,NA,14:29:53,14:48:51,yes,1138.0,14,29,53
CI59,29,unemployed,divorced,tertiary,no,67,no,no,cellular,23,feb,1,187,5,success,16:20:17,16:23:48,yes,211.0,16,20,17
CI60,47,retired,single,primary,no,0,yes,no,cellular,4,sep,3,-1,0,NA,16:16:01,16:17:06,no,65.0,16,16,1
CI61,36,retired,divorced,tertiary,no,1400,yes,no,cellular,11,may,3,-1,0,NA,15:05:25,15:15:33,yes,608.0,15,5,25
CI62,38,management,divorced,tertiary,no,2885,yes,no,NA,20,jun,10,-1,0,NA,10:46:11,11:09:53,yes,1422.0,10,46,11
CI63,72,services,single,primary,no,763,no,no,cellular,24,apr,2,-1,0,NA,17:48:21,17:54:45,yes,384.0,17,48,21
CI64,70,services,single,primary,no,3782,no,no,cellular,16,mar,1,-1,0,NA,11:23:58,11:34:16,no,618.0,11,23,58
CI65,26,management,single,tertiary,no,697,yes,no,cellular,18,may,2,-1,0,NA,16:10:32,16:14:45,no,253.0,16,10,32
CI66,43,retired,married,secondary,no,350,yes,no,NA,4,jun,1,-1,0,NA,12:42:28,12:44:36,no,128.0,12,42,28
CI67,27,housemaid,divorced,tertiary,no,683,yes,no,NA,9,may,3,-1,0,NA,11:14:40,11:15:24,no,44.0,11,14,40
CI68,50,self-employed,married,primary,no,120,yes,no,cellular,21,jul,1,-1,0,NA,12:52:02,12:53:41,no,99.0,12,52,2
CI69,29,technician,divorced,tertiary,no,464,no,no,cellular,9,nov,2,91,3,success,14:56:40,15:00:08,yes,208.0,14,56,40
CI70,48,housemaid,single,tertiary,no,6127,yes,no,NA,15,may,1,-1,0,NA,17:06:13,17:07:50,no,97.0,17,6,13
CI71,55,management,single,tertiary,no,0,no,no,NA,12,jun,2,-1,0,NA,17:01:33,17:11:47,yes,614.0,17,1,33
CI72,53,technician,married,secondary,no,257,no,no,cellular,11,jul,2,-1,0,NA,12:33:01,12:54:51,yes,1310.0,12,33,1
CI73,68,services,married,tertiary,no,4189,no,no,telephone,14,jul,2,-1,0,NA,12:27:49,12:42:46,yes,897.0,12,27,49
CI74,56,services,single,secondary,no,230,no,no,cellular,8,sep,1,92,2,failure,16:59:14,17:02:01,no,167.0,16,59,14
CI75,46,management,single,tertiary,no,78,yes,yes,NA,7,may,1,-1,0,NA,16:44:42,16:47:07,no,145.0,16,44,42
CI76,45,retired,single,primary,no,7154,yes,no,cellular,19,nov,3,111,3,failure,09:54:38,09:56:11,no,93.0,9,54,38
CI77,42,retired,married,secondary,no,9,yes,no,cellular,21,jul,1,-1,0,NA,14:24:03,14:32:32,no,509.0,14,24,3
CI78,37,entrepreneur,single,tertiary,no,5115,yes,no,cellular,17,nov,2,171,4,failure,12:59:55,13:20:05,yes,1210.0,12,59,55
CI79,31,housemaid,single,tertiary,no,0,yes,no,cellular,29,jan,2,-1,0,NA,16:39:03,16:42:47,no,224.0,16,39,3
CI80,38,entrepreneur,single,tertiary,no,4539,no,no,cellular,16,sep,1,-1,0,NA,16:16:04,16:22:31,yes,387.0,16,16,4
CI81,63,services,single,primary,no,48,no,no,cellular,9,jun,1,-1,0,NA,16:24:23,16:28:34,yes,251.0,16,24,23
CI82,49,management,single,tertiary,no,1568,no,no,NA,21,may,6,-1,0,NA,15:36:52,15:40:18,no,206.0,15,36,52
CI83,31,technician,divorced,tertiary,no,0,yes,no,cellular,7,may,2,295,2,failure,15:52:26,16:07:21,yes,895.0,15,52,26
CI84,30,unemployed,divorced,tertiary,no,2539,no,no,telephone,5,mar,5,-1,0,NA,09:54:04,09:57:23,yes,199.0,9,54,4
CI85,44,technician,divorced,primary,yes,4,no,yes,cellular,30,jul,2,-1,0,NA,16:44:16,16:57:24,yes,788.0,16,44,16
CI86,48,management,married,tertiary,no,2071,no,no,cellular,14,may,1,-1,0,NA,17:05:21,17:07:28,no,127.0,17,5,21
CI87,29,retired,divorced,tertiary,no,697,no,no,cellular,4,feb,1,-1,0,NA,15:07:21,15:10:47,yes,206.0,15,7,21
CI88,42,retired,single,primary,no,3713,no,no,cellular,19,nov,2,-1,0,NA,15:27:16,15:39:05,yes,709.0,15,27,16
CI89,57,services,divorced,tertiary,no,2528,yes,yes,NA,30,may,1,-1,0,NA,09:09:26,09:21:30,no,724.0,9,9,26
CI90,31,entrepreneur,married,tertiary,no,646,yes,no,NA,30,may,3,-1,0,NA,13:38:13,13:43:07,no,294.0,13,38,13
CI91,47,management,single,primary,no,94,yes,no,NA,9,may,3,-1,0,NA,09:01:17,09:04:46,no,209.0,9,1,17
CI92,31,management,single,tertiary,no,41,yes,no,NA,19,may,1,-1,0,NA,10:07:28,10:11:53,no,265.0,10,7,28
CI93,34,entrepreneur,single,tertiary,no,1072,no,yes,cellular,5,feb,1,252,2,failure,16:41:51,16:44:07,no,136.0,16,41,51
CI94,31,entrepreneur,single,primary,no,6562,yes,no,cellular,19,aug,2,-1,0,NA,14:42:12,14:44:10,no,118.0,14,42,12
CI95,38,management,single,tertiary,no,2685,no,no,NA,20,jun,12,-1,0,NA,17:55:46,17:56:08,no,22.0,17,55,46
CI96,46,retired,single,primary,no,1600,yes,yes,cellular,11,aug,1,-1,0,NA,14:09:12,14:29:56,yes,1244.0,14,9,12
CI97,30,management,divorced,tertiary,no,315,no,no,cellular,23,jun,1,-1,0,NA,09:37:38,10:01:05,yes,1407.0,9,37,38
CI98,48,self-employed,single,tertiary,no,0,no,no,cellular,28,may,5,-1,0,NA,10:33:58,10:38:28,yes,270.0,10,33,58
CI99,34,retired,divorced,tertiary,no,808,no,no,cellular,26,may,2,97,1,other,14:58:26,15:04:42,no,376.0,14,58,26
CI100,43,management,single,tertiary,no,1109,yes,no,cellular,2,feb,3,264,2,failure,12:24:59,12:26:54,no,115.0,12,24,59
CI101,28,management,divorced,tertiary,no,434,yes,no,cellular,30,apr,1,-1,0,NA,14:57:00,15:01:17,no,257.0,14,57,0
CI102,46,housemaid,single,tertiary,no,379,no,no,NA,11,jun,2,-1,0,NA,15:24:14,15:39:00,no,886.0,15,24,14
CI103,48,management,single,tertiary,no,893,no,no,cellular,13,aug,2,-1,0,NA,10:33:36,10:34:38,no,62.0,10,33,36
CI104,25,entrepreneur,divorced,tertiary,no,3630,no,no,telephone,9,jun,7,-1,0,NA,10:44:26,10:48:07,yes,221.0,10,44,26
CI105,44,management,divorced,secondary,no,2167,yes,no,NA,7,may,1,-1,0,NA,09:09:23,09:30:36,no,1273.0,9,9,23
CI106,48,management,single,tertiary,no,1730,yes,no,cellular,10,aug,1,102,1,success,11:56:17,11:58:55,no,158.0,11,56,17
CI107,39,technician,single,tertiary,no,3732,yes,no,cellular,18,nov,1,181,2,failure,14:38:16,14:46:51,no,515.0,14,38,16
CI108,50,entrepreneur,married,tertiary,no,636,yes,no,cellular,6,may,2,254,23,other,10:25:04,10:27:11,no,127.0,10,25,4
CI109,49,management,single,tertiary,no,327,yes,no,cellular,7,may,1,-1,0,NA,16:10:56,16:17:59,no,423.0,16,10,56
CI110,30,entrepreneur,divorced,tertiary,no,237,no,no,cellular,9,feb,2,-1,0,NA,11:25:54,11:27:46,no,112.0,11,25,54
CI111,47,management,single,primary,no,159,yes,no,NA,13,may,2,-1,0,NA,17:06:10,17:19:01,no,771.0,17,6,10
CI112,31,entrepreneur,divorced,tertiary,no,252,no,no,cellular,8,jun,3,-1,0,NA,09:28:58,09:30:45,yes,107.0,9,28,58
CI113,29,technician,divorced,tertiary,no,265,yes,no,cellular,25,nov,1,184,1,failure,17:04:34,17:11:28,yes,414.0,17,4,34
CI114,44,technician,single,tertiary,no,1074,yes,no,cellular,11,jul,2,-1,0,NA,15:58:12,16:13:23,yes,911.0,15,58,12
CI115,27,housemaid,single,tertiary,no,511,yes,no,NA,30,jun,5,-1,0,NA,17:20:42,17:22:07,no,85.0,17,20,42
CI116,52,retired,divorced,tertiary,no,83,no,no,cellular,26,aug,6,-1,0,NA,10:22:33,10:42:56,yes,1223.0,10,22,33
CI117,49,technician,single,tertiary,no,5361,no,no,cellular,7,aug,1,-1,0,NA,13:27:42,13:28:52,no,70.0,13,27,42
CI118,44,management,single,secondary,no,1529,yes,no,cellular,30,apr,1,-1,0,NA,17:15:15,17:21:02,yes,347.0,17,15,15
CI119,29,entrepreneur,single,tertiary,no,0,yes,no,cellular,28,jul,6,-1,0,NA,13:51:04,13:52:27,no,83.0,13,51,4
CI120,34,management,single,tertiary,no,262,no,no,cellular,15,sep,2,106,1,success,11:49:43,11:51:12,yes,89.0,11,49,43
CI121,49,technician,divorced,tertiary,no,275,no,no,NA,8,may,1,-1,0,NA,09:48:13,09:48:27,no,14.0,9,48,13
CI122,57,services,married,primary,no,720,no,no,telephone,17,feb,4,-1,0,NA,13:47:38,13:51:00,yes,202.0,13,47,38
CI123,39,entrepreneur,married,secondary,yes,3,no,no,cellular,6,may,1,-1,0,NA,14:32:42,14:40:50,yes,488.0,14,32,42
CI124,38,technician,divorced,tertiary,no,439,no,no,NA,16,jun,4,-1,0,NA,12:01:36,12:07:35,no,359.0,12,1,36
CI125,48,entrepreneur,single,tertiary,yes,295,no,yes,cellular,17,nov,2,-1,0,NA,17:07:38,17:10:48,no,190.0,17,7,38
CI126,40,retired,divorced,tertiary,no,1361,no,no,cellular,29,jan,1,-1,0,NA,13:32:42,13:57:15,yes,1473.0,13,32,42
CI127,61,services,single,tertiary,no,86,no,no,cellular,25,jan,1,94,1,success,16:46:41,16:57:20,yes,639.0,16,46,41
CI128,36,retired,single,primary,no,900,yes,no,NA,15,may,2,-1,0,NA,17:59:45,18:07:40,no,475.0,17,59,45
CI129,52,retired,single,primary,no,388,no,no,cellular,25,may,1,-1,0,NA,10:43:50,10:48:22,yes,272.0,10,43,50
CI130,54,retired,divorced,tertiary,no,0,yes,no,NA,3,jun,1,-1,0,NA,16:12:26,16:13:34,no,68.0,16,12,26
CI131,28,entrepreneur,divorced,tertiary,no,313,no,no,cellular,9,feb,2,-1,0,NA,09:37:15,09:56:58,yes,1183.0,9,37,15
CI132,22,unemployed,divorced,tertiary,no,330,yes,no,cellular,18,may,1,-1,0,NA,12:41:31,12:43:16,no,105.0,12,41,31
CI133,59,entrepreneur,single,tertiary,no,116,no,no,cellular,12,aug,4,422,3,failure,12:46:10,12:52:48,yes,398.0,12,46,10
CI134,62,services,single,primary,no,383,no,no,cellular,10,sep,1,-1,0,NA,12:33:15,12:37:51,no,276.0,12,33,15
CI135,69,retired,single,primary,no,840,no,no,telephone,5,feb,3,-1,0,NA,16:58:23,17:00:31,yes,128.0,16,58,23
CI136,47,retired,divorced,tertiary,no,324,no,yes,cellular,6,aug,1,-1,0,NA,17:49:20,17:50:32,no,72.0,17,49,20
CI137,40,student,single,tertiary,no,0,yes,no,cellular,11,may,1,-1,0,NA,13:18:17,13:29:14,yes,657.0,13,18,17
CI138,36,retired,single,primary,no,203,no,no,cellular,25,jan,1,88,1,success,14:34:31,14:38:46,yes,255.0,14,34,31
CI139,29,technician,divorced,tertiary,no,27,yes,no,cellular,6,may,1,-1,0,NA,15:24:00,15:36:34,yes,754.0,15,24,0
CI140,38,retired,single,primary,no,1308,yes,no,cellular,2,feb,1,-1,0,NA,09:06:43,09:17:09,yes,626.0,9,6,43
CI141,44,admin.,single,tertiary,no,1442,no,no,cellular,18,nov,2,-1,0,NA,15:01:47,15:06:27,no,280.0,15,1,47
CI142,35,management,divorced,tertiary,no,1830,no,no,cellular,14,oct,2,-1,0,NA,14:30:58,14:33:44,no,166.0,14,30,58
CI143,49,self-employed,married,primary,no,164,yes,no,NA,9,may,5,-1,0,NA,09:23:32,09:41:32,no,1080.0,9,23,32
CI144,47,technician,single,primary,no,324,no,no,cellular,21,nov,2,-1,0,NA,17:59:42,18:07:24,yes,462.0,17,59,42
CI145,41,technician,single,tertiary,no,549,yes,no,cellular,8,may,4,-1,0,NA,17:26:59,17:32:25,no,326.0,17,26,59
CI146,31,retired,divorced,tertiary,no,1088,yes,no,cellular,8,apr,2,-1,0,NA,15:08:17,15:17:52,yes,575.0,15,8,17
CI147,36,entrepreneur,single,tertiary,no,494,yes,no,NA,9,may,3,-1,0,NA,09:46:19,09:47:42,no,83.0,9,46,19
CI148,31,management,single,tertiary,no,314,yes,no,cellular,20,nov,3,178,7,failure,14:21:17,14:43:38,yes,1341.0,14,21,17
CI149,45,management,divorced,tertiary,no,0,no,no,cellular,5,aug,2,472,1,success,17:33:37,17:39:51,yes,374.0,17,33,37
CI150,30,housemaid,single,tertiary,no,475,no,no,cellular,22,aug,5,-1,0,NA,10:55:33,10:58:45,no,192.0,10,55,33
CI151,26,management,divorced,primary,no,295,yes,no,cellular,6,may,1,-1,0,NA,09:51:59,09:54:17,no,138.0,9,51,59
CI152,43,technician,single,primary,no,0,no,no,cellular,16,jul,1,281,1,failure,12:07:49,12:20:14,yes,745.0,12,7,49
CI153,49,management,single,primary,no,408,no,no,cellular,12,aug,4,-1,0,NA,13:20:29,13:29:48,yes,559.0,13,20,29
CI154,70,services,single,tertiary,no,2626,no,no,cellular,2,sep,2,-1,0,NA,10:53:38,10:55:58,yes,140.0,10,53,38
CI155,36,housemaid,married,tertiary,no,532,yes,no,cellular,29,jan,1,241,1,failure,12:15:33,12:22:04,no,391.0,12,15,33
CI156,37,retired,single,primary,no,784,yes,no,cellular,9,feb,3,-1,0,NA,15:47:02,15:47:43,no,41.0,15,47,2
CI157,39,entrepreneur,single,tertiary,no,376,no,no,NA,20,jun,3,-1,0,NA,16:52:37,16:55:17,no,160.0,16,52,37
CI158,43,management,single,tertiary,no,184,no,yes,cellular,16,jul,11,-1,0,NA,13:41:08,13:58:07,yes,1019.0,13,41,8
CI159,49,management,married,tertiary,no,848,yes,no,NA,19,jun,1,-1,0,NA,12:50:56,12:52:45,no,109.0,12,50,56
CI160,35,self-employed,single,primary,no,1265,yes,no,cellular,15,may,5,179,4,failure,15:50:35,15:56:01,yes,326.0,15,50,35
CI161,30,retired,divorced,tertiary,no,697,no,no,cellular,28,apr,2,181,8,success,10:56:54,11:05:59,yes,545.0,10,56,54
CI162,46,management,single,tertiary,no,1568,yes,no,cellular,2,jun,1,55,6,other,10:26:22,10:31:32,yes,310.0,10,26,22
CI163,38,management,single,primary,no,481,yes,no,telephone,12,may,5,-1,0,NA,09:18:18,09:20:12,no,114.0,9,18,18
CI164,49,technician,single,tertiary,no,3608,yes,no,cellular,30,apr,1,168,1,success,12:15:00,12:19:12,yes,252.0,12,15,0
CI165,53,retired,single,primary,no,3634,no,no,cellular,7,may,4,88,8,success,10:24:17,10:27:48,yes,211.0,10,24,17
CI166,42,entrepreneur,single,tertiary,no,556,yes,no,cellular,19,nov,1,-1,0,NA,15:52:29,15:54:10,no,101.0,15,52,29
CI167,32,entrepreneur,single,tertiary,no,696,yes,no,NA,2,jun,1,-1,0,NA,12:12:11,12:25:46,yes,815.0,12,12,11
CI168,35,student,single,primary,no,1987,no,no,cellular,8,aug,3,-1,0,NA,14:28:09,14:33:44,no,335.0,14,28,9
CI169,41,admin.,single,tertiary,no,8491,yes,no,cellular,18,nov,1,-1,0,NA,11:27:47,11:43:16,yes,929.0,11,27,47
CI170,81,services,single,primary,no,0,no,no,telephone,11,aug,1,-1,0,NA,12:08:28,12:11:46,no,198.0,12,8,28
CI171,34,technician,married,tertiary,no,67,yes,no,NA,6,may,1,-1,0,NA,16:39:05,16:40:35,no,90.0,16,39,5
CI172,30,technician,divorced,tertiary,no,1018,yes,no,cellular,29,jan,1,-1,0,NA,17:02:29,17:03:27,no,58.0,17,2,29
CI173,39,entrepreneur,single,primary,no,122,no,no,NA,20,jun,5,-1,0,NA,16:47:21,16:48:05,no,44.0,16,47,21
CI174,53,admin.,divorced,tertiary,no,62,yes,no,NA,30,may,5,-1,0,NA,17:29:09,17:46:33,yes,1044.0,17,29,9
CI175,34,management,single,primary,no,147,yes,no,NA,2,jun,3,-1,0,NA,09:26:03,09:27:23,no,80.0,9,26,3
CI176,23,housemaid,divorced,tertiary,no,210,yes,no,NA,20,may,1,-1,0,NA,10:21:58,10:30:25,no,507.0,10,21,58
CI177,51,management,single,primary,no,0,yes,yes,cellular,25,jul,3,-1,0,NA,11:10:34,11:26:20,yes,946.0,11,10,34
CI178,43,technician,single,tertiary,no,2576,yes,no,cellular,17,nov,2,-1,0,NA,11:26:06,11:28:29,no,143.0,11,26,6
CI179,54,housemaid,divorced,tertiary,no,0,no,no,cellular,23,sep,1,-1,0,NA,15:42:01,15:45:30,yes,209.0,15,42,1
CI180,54,management,single,primary,no,1659,no,no,cellular,12,aug,5,-1,0,NA,16:24:39,16:25:29,no,50.0,16,24,39
CI181,20,unemployed,divorced,secondary,no,457,no,no,cellular,16,jun,1,-1,0,NA,12:17:11,12:20:45,no,214.0,12,17,11
CI182,32,entrepreneur,divorced,tertiary,no,388,yes,no,cellular,22,aug,2,-1,0,NA,14:49:29,14:51:28,no,119.0,14,49,29
CI183,36,management,single,primary,no,599,yes,no,NA,21,may,2,-1,0,NA,16:39:55,16:50:44,yes,649.0,16,39,55
CI184,33,technician,single,tertiary,no,796,yes,no,telephone,6,apr,1,-1,0,NA,13:12:23,13:15:59,no,216.0,13,12,23
CI185,35,retired,married,secondary,no,538,yes,no,NA,12,may,4,-1,0,NA,15:39:43,15:40:49,no,66.0,15,39,43
CI186,58,management,single,primary,no,0,no,no,telephone,16,jul,6,-1,0,NA,11:54:53,12:04:11,no,558.0,11,54,53
CI187,46,entrepreneur,single,tertiary,no,3434,no,yes,cellular,27,feb,1,-1,0,NA,10:09:07,10:11:02,yes,115.0,10,9,7
CI188,79,services,single,primary,no,3025,no,no,cellular,11,dec,3,126,3,other,09:24:34,09:27:20,yes,166.0,9,24,34
CI189,40,management,single,tertiary,no,1960,yes,no,NA,2,jun,6,-1,0,NA,12:59:45,13:09:50,yes,605.0,12,59,45
CI190,36,management,divorced,tertiary,no,111,yes,no,cellular,6,may,3,-1,0,NA,15:26:35,15:29:29,no,174.0,15,26,35
CI191,29,retired,divorced,tertiary,no,368,yes,no,NA,23,may,1,-1,0,NA,12:36:01,12:38:41,no,160.0,12,36,1
CI192,34,entrepreneur,single,primary,no,5060,yes,no,cellular,21,aug,21,-1,0,NA,13:13:30,13:13:42,no,12.0,13,13,30
CI193,29,management,divorced,tertiary,no,734,yes,yes,cellular,30,apr,1,296,1,other,15:52:18,15:56:37,yes,259.0,15,52,18
CI194,31,management,single,primary,no,2827,yes,no,NA,8,may,3,-1,0,NA,09:18:31,09:22:29,no,238.0,9,18,31
CI195,28,housemaid,single,tertiary,no,633,no,yes,cellular,25,jul,1,-1,0,NA,13:25:08,13:26:43,no,95.0,13,25,8
CI196,44,entrepreneur,single,tertiary,no,533,yes,no,cellular,18,nov,1,110,2,failure,10:45:40,10:47:47,no,127.0,10,45,40
CI197,26,entrepreneur,single,tertiary,no,47,yes,no,NA,9,may,2,-1,0,NA,17:59:20,18:04:02,no,282.0,17,59,20
CI198,60,technician,married,tertiary,no,41,yes,yes,cellular,6,feb,1,262,1,failure,14:59:37,15:27:15,yes,1658.0,14,59,37
CI199,41,retired,single,primary,no,771,yes,no,cellular,26,aug,8,-1,0,NA,11:10:57,11:12:43,no,106.0,11,10,57
CI200,22,management,divorced,tertiary,no,189,yes,no,NA,30,may,3,-1,0,NA,14:53:11,14:54:10,no,59.0,14,53,11
CI201,38,management,divorced,tertiary,no,2470,yes,no,cellular,4,feb,1,230,1,other,10:21:03,10:23:14,no,131.0,10,21,3
CI202,54,services,married,secondary,no,0,no,no,NA,13,may,1,-1,0,NA,17:46:11,17:56:29,yes,618.0,17,46,11
